Distance_m,Altitude_m,Interference_Level,SNR_dB
1733.74,85.99,0,54.6
391.08,122.36,0,98.5
507.45,87.28,2,62.91
807.29,46.55,2,50.39
1691.47,91.83,0,60.38
233.51,144.01,1,87.43
471.08,121.28,1,87.26
1101.56,23.7,2,44.31
1348.69,42.2,1,52.98
1289.05,75.58,0,72.61
270.16,142.25,1,88.58
976.72,33.88,0,73.44
41.33,73.54,0,100
1054.22,22.0,1,55.76
325.47,78.14,2,68.7
132.87,133.09,1,97.1
1479.67,79.95,2,36.14
751.15,33.32,1,68.41
320.5,42.28,2,66.12
1674.68,15.39,0,53.07
1182.86,67.56,2,45.44
1344.78,36.04,0,67.81
1358.9,58.77,1,54.75
280.91,64.38,1,81.34
1830.94,102.52,2,27.82
1797.01,19.11,1,32.17
281.45,18.24,2,59.05
1789.26,69.28,2,23.59
535.81,149.53,0,100
215.91,108.46,2,77.75
392.41,32.11,0,88.47
419.23,115.12,1,87.26
211.88,106.24,1,91.4
1914.63,88.47,2,19.56
1793.72,149.42,0,59.84
960.17,88.4,0,84.49
1996.39,52.1,0,48.59
970.6,75.54,1,59.86
1980.6,145.74,0,55.06
729.32,18.19,1,66.66
555.14,39.7,1,73.63
977.95,49.9,1,65.24
1743.36,95.39,2,27.78
147.9,68.51,2,72.82
1344.6,43.86,2,33.32
1431.28,145.22,1,58.36
351.52,123.91,2,74.01
259.25,96.7,2,69.53
1814.81,93.26,2,24.71
1444.94,113.86,0,63.89
1734.18,64.93,1,36.92
155.08,103.62,2,80.46
544.67,28.02,0,86.49
528.41,110.16,2,62.59
1906.57,130.83,1,39.12
603.94,6.85,0,85.31
478.16,53.43,2,63.85
1571.11,123.71,0,64.77
456.54,115.79,2,69.81
1509.05,56.33,1,48.39
926.88,29.91,0,75.68
571.0,138.18,2,62.31
400.07,22.21,0,91.53
1055.97,134.47,0,81.08
724.12,71.24,2,58.12
1287.5,103.54,2,40.26
479.13,75.94,0,97.91
348.44,119.99,1,90.68
957.75,98.59,1,67.63
518.71,86.19,2,66.03
1097.07,95.53,2,43.81
1336.58,12.07,1,43.23
1554.22,77.91,2,32.9
1307.64,10.9,0,63.53
75.42,142.64,2,84.64
1675.65,116.96,1,41.47
1619.88,107.05,2,35.38
1173.49,25.7,2,34.98
1979.7,148.19,0,58.66
571.63,114.92,0,94.84
1027.81,65.0,2,44.54
1952.42,123.83,1,36.82
485.21,29.72,2,60.17
70.07,55.62,0,99.7
778.82,126.93,0,92.8
1093.06,117.05,1,68.84
661.2,97.39,2,58.34
1855.29,121.39,0,54.34
284.94,54.03,2,68.39
746.57,45.47,2,54.97
1060.07,124.24,2,47.34
428.74,107.14,1,78.43
15.08,114.86,0,100
357.35,107.4,0,100
1022.23,17.01,1,60.12
1094.95,114.38,1,59.12
1197.55,93.86,1,55.41
326.75,11.23,1,75.31
1502.38,64.94,2,32.61
945.17,149.09,2,54.91
1996.33,78.09,1,35.2
1130.17,145.2,2,51.16
731.76,90.09,1,75.72
406.05,137.83,2,70.8
367.1,51.88,2,68.3
92.48,76.99,0,100
1968.37,72.12,0,50.19
392.32,54.74,2,67.8
346.1,137.48,2,74.06
59.98,134.11,2,80.69
1119.93,53.56,1,52.16
383.38,66.67,0,90.67
894.23,41.72,2,44.55
91.95,9.62,2,64.92
219.92,69.55,0,100
1584.85,91.69,0,61.68
1393.62,14.12,0,58.8
1245.18,104.69,2,47.41
862.01,81.3,1,69.38
1543.19,19.09,1,42.88
1008.26,135.71,0,80.77
695.53,23.03,1,62.46
906.21,49.69,2,49.23
1376.68,58.43,0,65.7
1565.38,133.96,1,52.8
1119.57,53.51,2,40.73
436.87,59.32,0,95.3
1757.36,77.43,0,50.94
875.19,140.4,2,62.33
901.88,60.08,2,48.55
657.2,44.93,2,52.13
764.05,79.73,0,84.98
476.24,85.89,1,74.45
1059.92,14.28,1,55.01
1803.4,64.37,0,55.4
1881.2,148.85,0,63.05
908.41,130.51,1,72.17
1636.03,123.16,2,37.29
1378.82,117.14,1,59.69
1439.77,45.27,1,49.31
418.26,132.81,1,89.03
109.65,99.03,1,94.49
253.57,149.85,0,100
863.25,141.37,1,72.54
1601.82,78.54,2,26.09
331.94,87.3,2,73.07
1693.33,95.54,0,62.68
385.88,132.91,0,100
844.55,88.76,0,79.71
1172.88,70.33,2,45.1
691.73,85.91,1,72.44
506.74,144.36,1,86.24
66.83,53.2,0,100
1509.51,147.78,0,69.73
1753.28,95.67,1,45.12
1164.65,124.34,1,61.4
1341.54,85.26,1,50.47
326.25,122.76,2,70.12
944.93,54.39,0,79.08
1489.17,107.79,2,37.67
1814.95,68.64,2,23.38
347.08,63.96,1,80.82
365.89,120.81,0,98.96
1372.13,7.64,0,57.06
1356.92,133.06,1,61.46
471.42,76.63,0,97.94
1863.93,95.23,0,55.23
462.68,102.39,0,93.61
1190.05,44.9,2,34.74
1522.14,82.47,2,37.58
1571.04,126.44,0,63.09
1716.13,115.71,2,27.38
1787.34,70.11,1,39.27
277.08,85.82,2,72.62
1554.32,77.66,2,26.94
584.9,133.53,2,70.61
933.4,106.44,0,78.8
969.97,33.4,2,48.63
1307.41,43.21,0,67.97
1122.14,51.22,1,57.25
1735.04,90.97,2,30.15
1262.88,73.04,0,70.07
838.38,111.97,2,55.4
1896.21,98.44,1,33.73
1888.6,74.63,1,38.4
1648.46,81.48,1,38.71
1700.72,79.83,2,29.65
1504.64,115.03,0,68.43
1647.26,123.41,2,36.8
1517.66,69.49,2,26.78
1794.09,78.86,1,42.3
803.39,32.97,2,49.83
601.6,106.26,2,61.6
1390.08,64.13,0,68.19
1185.57,119.62,0,80.09
544.78,57.72,2,54.56
249.98,25.14,0,93.37
895.2,79.41,0,79.46
263.22,52.67,2,67.31
1429.82,124.35,0,73.79
635.05,107.5,0,89.94
890.04,54.03,1,63.22
1799.21,130.54,1,42.92
1654.44,88.06,1,41.27
1366.59,148.05,2,45.08
1100.97,95.54,0,77.87
1113.29,32.94,1,55.48
849.32,73.65,2,55.5
35.11,75.58,1,94.44
144.01,70.5,2,75.4
989.34,67.29,1,63.71
965.4,65.78,0,74.97
1546.54,28.65,1,43.73
1020.31,104.83,1,66.04
447.57,51.11,1,79.66
1715.24,83.29,0,54.76
1767.75,75.25,2,24.81
985.15,9.86,2,36.87
1694.72,77.89,2,22.77
1964.22,26.75,2,15.57
1164.2,52.16,1,58.65
1712.94,21.63,2,25.45
994.22,39.31,2,48.42
1893.98,132.82,2,27.61
1505.15,61.59,2,34.84
1358.28,127.34,0,68.58
1561.61,62.56,0,59.7
1143.48,26.67,2,37.67
1707.63,33.35,1,35.37
617.81,122.24,2,58.92
1170.39,70.45,2,44.69
696.64,54.08,2,50.08
427.2,109.55,2,71.78
1462.91,8.05,2,30.97
574.05,68.13,1,76.81
281.65,13.86,1,79.98
1301.47,137.37,2,43.21
1177.45,105.84,2,46.73
1760.0,77.08,2,23.0
1439.82,148.76,0,68.72
438.08,11.42,2,54.59
973.08,36.93,2,41.57
1560.78,99.17,0,61.07
1048.58,50.59,1,62.06
1430.73,11.1,0,58.78
1352.15,124.26,1,57.59
1137.65,82.31,1,54.47
607.37,77.19,2,61.99
1905.17,19.04,1,34.08
715.4,8.88,2,49.9
1315.34,23.23,2,33.36
27.46,95.66,2,76.06
39.3,20.49,0,98.66
1413.46,29.27,0,55.88
366.53,122.47,0,97.52
1179.63,51.22,0,71.45
1177.27,35.18,2,40.22
316.35,56.43,0,95.39
1274.46,147.44,1,62.16
1280.39,53.11,0,66.77
339.94,65.93,0,99.67
1940.01,77.56,2,19.4
332.1,31.55,0,96.3
560.34,96.64,0,95.29
750.68,19.11,2,53.27
1795.67,117.76,1,47.19
322.14,99.04,0,95.9
573.47,106.27,1,83.22
1663.45,136.71,2,31.99
1442.94,29.12,1,41.84
922.87,128.3,1,72.92
1486.8,40.02,0,64.35
1890.26,20.8,1,29.99
955.12,124.19,2,56.56
1191.55,78.58,0,76.46
1662.81,133.01,1,46.88
1723.44,61.25,0,50.98
657.95,8.09,1,67.28
1952.06,9.84,1,31.08
214.41,143.05,2,82.16
1611.8,147.19,1,48.05
1245.83,91.48,0,71.95
136.07,10.89,2,64.05
453.86,8.82,1,70.01
99.69,67.54,0,100
1828.99,135.96,1,40.73
51.99,138.52,0,100
1146.2,113.18,2,45.96
127.31,52.34,2,68.79
1780.03,145.68,1,46.75
428.35,60.9,2,58.64
1840.93,71.2,0,53.54
831.91,81.13,0,85.36
1443.79,81.45,2,30.32
1298.83,86.48,2,41.21
1919.86,34.66,2,16.72
887.75,53.92,0,80.59
1446.03,31.68,2,26.88
1424.57,26.56,2,29.48
1470.91,114.91,2,33.51
47.78,108.35,1,95.7
1987.61,59.68,1,29.02
1497.18,37.44,1,42.26
1652.86,24.27,0,56.12
893.21,79.54,0,78.14
634.91,145.57,0,94.21
586.83,147.74,2,69.58
319.05,108.32,1,82.46
264.11,41.99,2,62.96
362.54,12.33,0,90.59
1670.14,54.63,2,29.22
1487.42,49.81,2,31.24
1957.71,54.34,0,44.42
1156.87,129.65,0,76.41
1372.44,127.09,0,66.79
1120.33,39.09,0,66.03
1707.87,103.95,2,29.98
224.24,139.28,0,100
1605.7,64.81,0,56.62
445.55,38.72,0,87.28
194.19,15.71,2,61.42
16.99,72.86,0,100
1098.97,23.62,1,55.65
1002.72,68.88,1,64.58
1772.06,17.69,2,18.89
854.02,39.85,2,44.49
1340.7,104.83,1,52.72
784.07,9.35,2,45.98
1366.81,93.47,2,41.65
1979.61,59.77,0,46.15
81.2,115.47,2,75.04
1418.12,77.62,2,37.43
1891.35,47.89,2,16.48
1500.97,68.29,1,47.01
1421.23,136.81,2,43.85
1556.19,27.29,0,52.18
906.55,117.03,1,69.49
1304.52,110.13,0,71.85
907.27,64.41,1,59.93
1101.24,79.03,1,63.57
438.36,56.21,2,64.06
948.47,37.19,1,64.68
1932.82,135.45,0,52.59
881.64,114.19,2,51.74
386.39,80.95,0,99.03
19.05,99.58,1,92.8
759.31,145.07,2,56.86
690.52,17.84,0,76.24
1105.35,130.43,0,74.99
618.72,51.06,0,88.85
639.49,91.11,1,79.2
257.62,67.78,0,100.0
36.82,47.4,0,100
289.4,123.72,1,91.7
750.94,89.2,0,82.71
1875.84,110.46,1,41.07
977.15,19.03,1,56.59
408.25,36.29,1,75.55
1697.19,60.42,1,39.68
1834.65,87.61,0,57.13
512.05,142.21,0,97.57
1210.06,84.73,0,74.2
615.8,100.2,0,91.38
41.28,96.63,0,100
328.87,146.18,1,93.91
415.63,105.77,0,99.58
83.54,47.27,2,70.95
1952.56,103.22,2,21.13
724.39,35.14,2,53.81
1746.27,24.56,0,45.91
604.13,6.97,0,81.92
921.76,59.07,2,44.53
642.06,79.69,1,75.03
624.47,94.72,0,92.74
1006.84,12.44,2,45.14
1264.15,146.72,1,60.53
1561.65,52.15,0,61.95
1438.04,149.34,2,40.32
1281.38,22.59,0,66.06
546.4,42.63,1,75.1
704.4,147.48,1,75.88
1357.29,91.6,1,57.97
1543.68,15.58,1,39.5
1023.59,109.38,0,77.14
1708.15,39.62,0,53.09
1197.37,104.07,0,72.77
259.79,18.55,1,82.63
608.18,69.39,0,89.29
72.58,61.57,0,100
1040.23,90.41,2,46.9
163.56,142.94,0,100
394.72,114.97,0,96.52
1302.69,26.18,1,53.44
1288.17,30.57,2,30.39
1283.28,63.88,2,35.88
746.28,95.95,2,60.68
293.43,22.48,2,68.34
998.04,97.49,1,65.16
1461.99,144.81,2,36.75
157.97,21.11,0,98.76
1107.64,41.9,1,57.75
1258.73,105.66,0,70.09
1153.33,69.42,0,68.52
1062.7,113.31,0,83.26
380.9,106.16,2,71.04
1439.05,10.32,0,55.78
338.17,136.01,0,100
1893.2,60.83,0,50.09
758.28,102.96,0,84.21
1308.28,31.81,2,34.71
1960.52,20.65,0,38.62
998.49,59.14,1,62.41
1228.53,108.31,2,46.78
1845.34,141.44,2,30.24
147.81,81.53,1,83.77
1340.45,148.16,0,78.96
146.32,121.48,2,81.69
804.48,29.01,2,45.06
1422.49,85.85,1,51.42
1765.39,137.1,2,34.47
1282.31,64.18,2,40.57
1870.12,54.95,2,16.22
1177.97,117.13,0,71.53
125.59,93.2,0,100
1679.41,58.14,0,52.41
192.06,90.53,2,74.37
1449.95,132.3,1,53.24
729.19,33.78,1,65.45
357.35,61.01,0,99.61
957.49,76.44,1,61.34
401.84,55.64,2,61.24
1858.47,69.24,0,47.15
881.77,23.81,1,65.74
1956.82,23.2,1,26.96
1060.84,22.78,2,35.92
1764.73,95.93,0,56.69
778.72,108.07,0,82.63
526.02,23.42,2,56.68
1610.24,29.24,0,52.58
711.6,17.83,2,49.16
1090.28,108.8,2,47.93
1113.52,86.58,0,70.48
912.74,57.67,0,76.02
1699.15,79.55,1,43.58
1968.43,16.43,1,29.01
471.05,57.22,2,59.44
1947.08,146.71,2,24.82
946.21,127.51,0,83.24
234.87,33.84,2,67.72
1272.96,54.76,2,32.52
1300.21,10.86,0,64.2
401.0,99.42,2,65.97
181.85,77.61,2,72.13
691.92,36.82,2,53.17
1567.48,6.59,0,53.7
1372.83,68.6,1,54.6
1094.32,127.73,2,51.66
1721.63,110.17,0,60.04
984.62,53.11,2,45.69
769.91,21.08,2,53.73
1612.83,103.2,1,42.17
1576.57,118.16,1,52.53
122.03,121.59,0,100
1803.45,15.35,0,48.67
1027.61,85.23,0,77.19
1582.11,20.29,1,44.02
1120.81,74.85,0,72.17
1380.33,111.56,2,39.42
168.13,81.48,2,74.99
1110.21,60.18,0,70.34
1481.32,150.0,1,58.48
874.79,56.05,0,74.93
1494.46,53.46,2,31.05
1133.35,109.52,1,63.8
1242.05,71.0,2,42.99
551.89,67.19,0,94.41
156.35,61.67,2,70.95
1862.69,36.35,2,17.12
395.85,8.35,1,69.1
1684.2,124.05,1,46.83
896.5,25.53,2,48.4
1989.8,137.19,0,56.12
1847.46,12.07,2,13.54
843.41,124.07,2,59.78
482.9,15.78,0,91.82
1605.47,51.34,0,54.03
1393.95,112.05,0,69.57
408.35,59.71,2,67.86
732.83,121.62,0,89.97
639.87,16.63,1,72.22
1826.12,70.51,0,52.85
297.44,36.83,1,78.08
1689.64,69.05,1,45.8
1887.29,142.19,2,28.38
1494.3,19.26,1,43.05
1893.66,26.56,1,32.77
830.99,24.78,1,65.84
474.26,75.63,0,97.84
1637.38,85.6,1,48.44
420.08,65.26,0,95.86
1327.09,6.7,0,57.88
1706.46,75.32,1,38.99
1207.0,10.94,0,66.5
1133.13,51.28,1,53.17
1930.21,9.67,1,28.8
1855.84,21.46,2,12.17
618.95,147.72,2,62.3
1205.55,98.97,0,74.82
157.58,53.65,1,88.59
1527.62,68.02,1,49.89
1475.15,46.72,1,42.59
1344.87,95.7,0,66.14
873.6,24.53,0,71.64
121.65,76.24,2,78.77
1134.43,93.96,2,42.85
672.08,40.95,0,83.6
1306.13,83.86,2,40.43
1033.77,95.19,0,80.58
927.4,74.92,2,48.04
1304.75,43.03,1,46.56
806.34,69.97,2,55.17
1266.93,143.24,1,58.47
307.87,6.67,0,88.12
1646.9,55.89,1,36.44
370.95,32.18,2,66.51
560.56,26.98,0,88.62
863.73,28.83,0,76.34
503.99,13.06,0,85.04
444.39,67.3,1,78.57
1320.9,144.14,0,71.42
1018.56,63.15,2,44.68
1637.42,101.76,2,28.72
871.16,64.69,0,82.07
1855.67,23.32,0,47.84
1602.59,41.43,0,52.55
498.79,75.03,1,77.81
430.74,25.04,1,71.67
738.69,136.14,2,64.12
310.11,34.37,0,90.61
1781.27,62.38,1,36.9
1437.6,42.87,0,60.05
1323.56,51.05,1,54.33
882.83,47.81,1,61.73
650.22,86.54,1,78.56
1326.57,102.02,0,68.28
528.21,11.26,1,66.25
